place_name,place_description,status
West Village,"t2.gstatic.com The West Village draws fashionable crowds to its designer boutiques and trendy restaurants. Quaint streets, some still cobblestoned, are lined with Federal-style townhouses and dotted with public squares. Notable venues include the Village Vanguard jazz club and the Stonewall Inn bar, site of the 1969 riots that launched the gay rights movement. The historically arty area also has piano bars, cabarets and theaters. The West Village draws fashionable crowds to its designer boutiques and trendy restaurants. Quaint streets, some still cobblestoned, are lined with Federal-style townhouses and dotted with public squares. Notable venues include the Village Vanguard jazz club and the Stonewall Inn bar, site of the 1969 riots that launched the gay rights movement. The historically arty area also has piano bars, cabarets and theaters.  West Village. Always a good time to walk around West village. Enjoy the atmosphere : house, tree, street... And you will enjoy the... › Attractions-g60763-Activities-z... THE 10 BEST Hidden Gems in New York City (Updated 2024)",not_extracted
Whispering Gallery in Grand Central Terminal,"www.atlasobscura.com  Whispering Gallery. Without a doubt, the Whispering Gallery is one of the most incredible secret treasures that New York has to offer. This acoustic ... › inspirations › north-america New York’s Hidden Gems – Unique NYC Sights Grand Central Whispering Gallery. Okay, okay, we're well aware that Manhattan's Grand Central Station isn't a secret to anyone. It's busier than … well, we ... › list › nyc-hidden-gems 21 NYC Hidden Gems Most New Yorkers Don't Know About One such spot is the Grand Central Whispering Gallery. Located near the Oyster Bar Restaurant in Grand Central Terminal, this architectural anomaly allows ... › articles › hidden-gems-in-nyc Hidden gems in NYC: an unconventional explorer's guide",not_extracted
The Basilica of St. Patrick's Old Cathedral,"www.historicplaster.com The Basilica of Saint Patrick's Old Cathedral, sometimes shortened to St. Patrick's Old Cathedral or simply Old St. Patrick's, is a Catholic parish church, a basilica, and the former cathedral of the Archdiocese of New York, located in the Nolita neighborhood of Lower Manhattan, New York City. The Basilica of Saint Patrick's Old Cathedral, sometimes shortened to St. Patrick's Old Cathedral or simply Old St. Patrick's, is a Catholic parish church, a basilica, and the former cathedral of the Archdiocese of New York, located in the Nolita neighborhood of Lower Manhattan, New York City. Wikipedia  Wikipedia  Basilica Of St. Patrick's Old Cathedral. Our tour guide, Michael, did a fantastic job explaining the history of the church, the cemetery and the catacombs ... › Attractions-g60763-Activities-z... THE 10 BEST Hidden Gems in New York City (Updated 2024) Unknown to many native New Yorkers, underneath St. Patrick's Old Cathedral lies an off-limits area of mysterious catacombs and ancient walled cemeteries. › travelguide › hidden-gems-in-nyc New York Hidden Gems: Unveiling 14 of the Big Apple's Best-Kept ...",not_extracted
Fort Tryon Park,"www.metmuseum.org Fort Tryon Park is a public park located in the Washington Heights and Inwood neighborhoods of the borough of Manhattan in New York City. The 67-acre park is situated on a ridge in Upper Manhattan, close to the Hudson River to the west. Fort Tryon Park is a public park located in the Washington Heights and Inwood neighborhoods of the borough of Manhattan in New York City. The 67-acre park is situated on a ridge in Upper Manhattan, close to the Hudson River to the west. Wikipedia  Wikipedia  Fort Tryon Park is also home to the Cloisters, an offshoot of the famed Metropolitan Museum of Art that has nearly 5,000 medieval works in a castle-like ... › list › nyc-hidden-gems 21 NYC Hidden Gems Most New Yorkers Don't Know About Fort Tryon Park, Inwood. These massive stone arches looks straight out of another era…and that's because they are! Built between 1901 and 1905, the ... › extraordinary-places-you-wont-believe-a... 17 NYC Places That Don't Look Like They're In New York City For History Enthusiasts – Fort Tryon Park. Fort Tryon Park is no ordinary spot in NYC. Since most people don't know about its cool history, it remains one ... › hidden-gems-in-nyc 20 Magnificent Hidden Gems in New York City | MUST SEE",not_extracted
Green-Wood Cemetery,"t2.gstatic.com Green-Wood Cemetery is a 478-acre cemetery in the western portion of Brooklyn, New York City. The cemetery is located between South Slope/Greenwood Heights, Park Slope, Windsor Terrace, Borough Park, Kensington, and Sunset Park, and lies several blocks southwest of Prospect Park. Green-Wood Cemetery is a 478-acre cemetery in the western portion of Brooklyn, New York City. The cemetery is located between South Slope/Greenwood Heights, Park Slope, Windsor Terrace, Borough Park, Kensington, and Sunset Park, and lies several blocks southwest of Prospect Park. Wikipedia  Wikipedia  Green-Wood Cemetery. A century ago, this site vied with Niagara Falls as New York State's greatest tourist attraction. Filled with Victorian mausoleums ... › newyork › best-lesser-known-nyc-... 15 Lesser-Known New York Attractions | Underrated Things To Do In NYC Green-Wood Cemetery. Brooklyn's Green-Wood Cemetery is a treasure trove of history, art and architecture—even if you may be a little skittish about hanging ... › list › nyc-hidden-gems 21 NYC Hidden Gems Most New Yorkers Don't Know About Green-Wood cemetery. Enormous, well kept cemetery, a green oasis of peace, with great views to downtown manhattan and the statue of liberty. › Attractions-g60827-Activities-z... THE 10 BEST Hidden Gem Attractions in Brooklyn (Updated 2024)",not_extracted
Greenacre Park,"en.wikipedia.org Greenacre Park is a privately owned, publicly accessible vest-pocket park located on East 51st Street between Second and Third Avenues in the Turtle Bay neighborhood of Manhattan, New York City. Greenacre Park is a privately owned, publicly accessible vest-pocket park located on East 51st Street between Second and Third Avenues in the Turtle Bay neighborhood of Manhattan, New York City. Wikipedia  Wikipedia  Greenacre Park, Midtown. This hidden little park in Midtown East is only 1/7 of an acre, but it definitely packs a punch. It holds a 25-foot waterfall that ... › extraordinary-places-you-wont-believe-a... 17 NYC Places That Don't Look Like They're In New York City Greenacre Pocket Park. Even if we didn't mention a thing about the NYC hidden gem that is Greenacre Park, here's a well-kept secret right here: Midtown ... › list › nyc-hidden-gems 21 NYC Hidden Gems Most New Yorkers Don't Know About Greenacre Park is a small, urban park located in midtown Manhattan, close to Rockefeller Center and the Museum of Modern Art. The exact address is 217 E 51st St ... › nyc-hidden-gems-locals-sec... Escape the Crowds: A Local's Guide to NYC's Secret Spots",not_extracted
9/11 Museum Workshop: 100 Images & Artifacts Exhibit,"www.expedia.com  Ground Zero Museum Workshop. 9/11 Museum Workshop: 100 Images & Artifacts from 9/11, in the Meatpacking District near High Line Park. Experience what it was ... › Attractions-g60763-Activities-... THE 10 BEST Hidden Gem Attractions in New York City (2024)",not_extracted
Hidden tropical rainforest,"www.thebrokebackpacker.com  Hidden Tropical Rainforest. From Central Park to the New York Botanical Garden and all the little public parks in between, it's easy enough to find a patch ... › wwen › blog › language › 10-hidden-ge... 10 hidden gems in New York ‹ EF GO Blog | EF Global Site (English) A Bizarre Sight in NYC – Hidden Tropical Rainforest. The last thing you'd expect as you are taking a stroll in a Manhattan office building is to find a ... › hidden-gems-in-nyc 20 Magnificent Hidden Gems in New York City | MUST SEE New York Hidden Gems ; New York's Hidden Tropical Forest. A miniature rainforest is growing inside of a Midtown Manhattan office building. ; Roosevelt Island Cat ... › users › lauargento › lists › ne... New York Hidden Gems",not_extracted
Mmuseumm,"en.wikipedia.org Mmuseumm is a modern natural history museum located in Tribeca, Lower Manhattan in New York City, dedicated to its signature curatorial style of ""Object Journalism"" and draws parallels to the older cabinet of curiosities model. Mmuseumm is a modern natural history museum located in Tribeca, Lower Manhattan in New York City, dedicated to its signature curatorial style of ""Object Journalism"" and draws parallels to the older cabinet of curiosities model. Wikipedia  Wikipedia  Mmuseumm. Perhaps one of the most unique museum experiences in Manhattan can be had at Mmuseumm – the tiniest museum in the city. Housed in a former freight ... › blog › explore-new-yorks-hid... Explore New York’s Hidden Museum Gems - The Marmara Park Avenue Mmuseumm. Mmuseumm is definitely the most hipster of the museums on this list. That and the fact that the space is so inconspicuous you might just pass it ... › underrated-hidden-gems-museums-nyc 15 Lesser-Known Museums In NYC That Are Total Hidden Gems Mmuseumm—no, that's not a typo—is a tiny museum housed in an elevator shaft that takes inspiration from old-style cabinets of curiosities. The museum displays ... › new-york › hidden-gems-in-new-york Hidden Gems in New York That You Need to Visit",not_extracted
New York City Fire Museum,"www.nycfiremuseum.org The New York City Fire Museum is a museum dedicated to the New York City Fire Department in the Hudson Square neighborhood of Manhattan, New York City. It is housed in the former quarters of the FDNY's Engine Company No. 30, a renovated 1904 fire house at 278 Spring Street between Varick and Hudson Streets. The New York City Fire Museum is a museum dedicated to the New York City Fire Department in the Hudson Square neighborhood of Manhattan, New York City. It is housed in the former quarters of the FDNY's Engine Company No. 30, a renovated 1904 fire house at 278 Spring Street between Varick and Hudson Streets. Wikipedia  Wikipedia  New York City Fire Museum. Dedicated to collecting and preserving the rich heritage and history of fire-fighting in New York City, the New York City Fire ... › blog › explore-new-yorks-hid... Explore New York’s Hidden Museum Gems - The Marmara Park Avenue New York City Fire Museum. The New York City Fire Museum is the official museum of the FDNY. Occupying a renovated 1904 Beaux‐Arts firehouse at 278 Spring ... › Attractions-g60763-Activities-zft... THE 10 BEST Hidden Gem Attractions in New York City (2024) The hyphen in the name of the New York Historical Society isn't a mistake, but a reference to the way the city spelled its name when the museum was founded ... › newyork › best-lesser-known-nyc-... 15 Lesser-Known New York Attractions | Underrated Things To Do In NYC",not_extracted
Riverside Park,"en.wikipedia.org Riverside Park is a scenic public park on the waterfront of the Upper West Side, Morningside Heights, and Hamilton Heights neighborhoods of the borough of Manhattan in New York City. Riverside Park is a scenic public park on the waterfront of the Upper West Side, Morningside Heights, and Hamilton Heights neighborhoods of the borough of Manhattan in New York City. Wikipedia  Wikipedia  Riverside Park. We really enjoyed a walk through the park - as it slightly off the beaten track it was quiet, but still... › Attractions-g60763-Activities-zft... THE 10 BEST Hidden Gem Attractions in New York City (2024)",not_extracted
E 60 St &2 Av,"en.wikipedia.org The Roosevelt Island Tramway is an aerial tramway that crosses the East River in New York City, connecting Roosevelt Island to the Upper East Side of Manhattan. The tramway is the first commuter aerial tramway in the U.S., having opened on May 17, 1976, to serve residential developments on Roosevelt Island. The Roosevelt Island Tramway is an aerial tramway that crosses the East River in New York City, connecting Roosevelt Island to the Upper East Side of Manhattan. The tramway is the first commuter aerial tramway in the U.S., having opened on May 17, 1976, to serve residential developments on Roosevelt Island. Wikipedia  Wikipedia  This little Island is a great spot to visit, but how you get there is equally as cool: the Roosevelt Island Tramway. It is the oldest urban tramway in the ... › nyc-hidden-gems-locals-sec... Escape the Crowds: A Local's Guide to NYC's Secret Spots - A World to Travel Roosevelt Island Tramway. You may think of a gondola as a means of sightseeing in a European city, but we have one right here in the form of the Roosevelt ... › extraordinary-places-you-wont-believe-a... 17 NYC Places That Don't Look Like They're In New York City Take the aerial tramway to Roosevelt Island. Not quite Manhattan, not quite Queens, Roosevelt Island is the narrow island in the middle of the East River ... › blog › travel-guides › non-touristy-thi... 7 Non-Touristy Things to Do in New York City - HI USA",not_extracted
High Line,"t1.gstatic.com Template:Attached KML/High Line
KML is not from Wikidata
The High Line is a 1.45-mile-long elevated linear park, greenway, and rail trail created on a former New York Central Railroad spur on the west side of Manhattan in New York City. Template:Attached KML/High Line
KML is not from Wikidata
The High Line is a 1.45-mile-long elevated linear park, greenway, and rail trail created on a former New York Central Railroad spur on the west side of Manhattan in New York City. Wikipedia  Wikipedia  The High Line Park. A 1930s railway line suspended in the air over Manhattan's industrial district may seem an unusual place to site a park. But this hip ... › 10-absolutely-underrated-attractio... Less-touristy New York City attractions you shouldn't miss | Quotient Travel Walk the High Line. The High Line is a unique public park built on what used to be an abandoned elevated freight rail line on the west side of Manhattan. It ... › non-touristy-things-to-do-in-... 22 Best Non Touristy Things to do in New York City (2024) Walk The High Line. This might not be the best idea during the winter, but during any other time of year, it is a must-do. The High Line is an elevated ... › the-top-10-most-underrated-thin... The Top 10 Most Underrated Things to do in New York City",not_extracted
Brooklyn Bridge,"t0.gstatic.com The Brooklyn Bridge is a hybrid cable-stayed/suspension bridge in New York City, spanning the East River between the boroughs of Manhattan and Brooklyn. Opened on May 24, 1883, the Brooklyn Bridge was the first fixed crossing of the East River. The Brooklyn Bridge is a hybrid cable-stayed/suspension bridge in New York City, spanning the East River between the boroughs of Manhattan and Brooklyn. Opened on May 24, 1883, the Brooklyn Bridge was the first fixed crossing of the East River. Wikipedia  Wikipedia  Admittedly, Brooklyn Bridge Parks is relatively popular with tourists, though the park's 85 acres of waterfront gives it a peaceful and serene atmosphere ... › non-touristy-things-to-do-in... 12 Amazing Non-Touristy Things to Do in NYC When the Brooklyn Bridge first opened in the 1880s, it was the longest suspension bridge in the world. › non-touristy-nyc The Best Non-Touristy Things to do in NYC (2024) - Jared's Detours Take in the Sights from Brooklyn Bridge Park. You've likely heard of DUMBO – Down Under The Manhattan Bridge Overpass. While visiting DUMBO to take pictures ... › non-touristy-things-to-do-in-... 22 Best Non Touristy Things to do in New York City (2024)",not_extracted
Woolworth Building,"t1.gstatic.com The Woolworth Building is a 792-foot-tall residential building and early skyscraper at 233 Broadway in the Tribeca neighborhood of Lower Manhattan in New York City, United States. The Woolworth Building is a 792-foot-tall residential building and early skyscraper at 233 Broadway in the Tribeca neighborhood of Lower Manhattan in New York City, United States. Wikipedia  Wikipedia  Woolworth Building. New York City's Woolworth Building is underrated and often overlooked by other skyscrapers like the Empire State Building. Built in 1913 ... › by-destination › underrated-places-t... Underrated places to visit in New York City - GO LIVE IT Woolworth Building. Learn how the biggest retail tycoon of the early twentieth century and a star architect changed the NYC skyline forever. Designed by the ... › Attractions-g60763-Activities-zft... THE 10 BEST Hidden Gem Attractions in New York City (2024) The Woolworth Building was designed by architect Cass Gilbert, and is one of the earliest skyscrapers –and once, the tallest – in NYC. Unlike modern ... › North America › USA NYC's Hidden Gems | The City's Must-See Secret Spots 2024",not_extracted
Smallpox Memorial Hospital,"www.atlasobscura.com The Smallpox Hospital, sometimes referred to as the Renwick Smallpox Hospital and later the Maternity and Charity Hospital Training School, was a
hospital located on Roosevelt Island in Manhattan, New York City. The Smallpox Hospital, sometimes referred to as the Renwick Smallpox Hospital and later the Maternity and Charity Hospital Training School, was a
hospital located on Roosevelt Island in Manhattan, New York City. Wikipedia  Wikipedia  Smallpox Memorial Hospital was the first hospital to receive patients with smallpox. It is now one of the off-the-beaten tracks and a peaceful neighborhood ... › least-crowded-but-scenic-places-t... 10 Least-Crowded, But Still Scenic Places To Visit In New York City The Renwick Smallpox Hospital on Roosevelt Island is a designated New York City Landmark, known for its Gothic Revival architecture and eerie atmosphere. Built ... › blog › secret-places-in-nyc Secret Places in NYC: 10 Interesting Spots You Need to Visit Its genesis dates to 1856 when it was opened as a hospital specifically aimed at tackling the problem of smallpox. Over the decades, it changed to become a ... › underrated-tourist-attractions-nyc 27 Underrated Tourist Attractions To Add To Your NYC Itinerary",not_extracted
City Island,"www.nyctourism.com City Island is a neighborhood in the northeastern Bronx in New York City, located on an island of the same name approximately 1.5 miles long by 0.5 miles wide. City Island is located at the extreme western end of Long Island Sound, south of Pelham Bay Park, and east of Eastchester Bay. City Island is a neighborhood in the northeastern Bronx in New York City, located on an island of the same name approximately 1.5 miles long by 0.5 miles wide. City Island is located at the extreme western end of Long Island Sound, south of Pelham Bay Park, and east of Eastchester Bay. Wikipedia  Wikipedia  Stroll down City Island Avenue, the main drag, and you'll notice the lack of apparent urbanism, causing it to feel like you have arrived at a small New ... › underrated-tourist-attractions-nyc 27 Underrated Tourist Attractions To Add To Your NYC Itinerary Long Island City may not have as many galleries as Chelsea, but the quality of its installations gives Chelsea's galleries a run for their money. › non-touristy-things-to-do-in... 12 Amazing Non-Touristy Things to Do in NYC City Island, The Bronx. For more waterfront picks, City Island in the Bronx will make you feel like you're in a small seaside town, enjoying fresh seafood ... › extraordinary-places-you-wont-believe-a... 17 NYC Places That Don't Look Like They're In New York City",not_extracted
Fort Tryon Park New York,"www.thebrokebackpacker.com  For a serene experience away from the concrete jungle that is New York, venture to Fort Tryon Park in Upper Manhattan. With its awe-inspiring vistas of the ... › blog › 10-non-touristy-things-to... 10 Non-Touristy Things To Do in NYC The garden in Fort Tryon Park features upwards of 48 varieties of heaths and heathers, which are actually unique to New York City. Some of these bloom ... › blogs › news › 5-non-touristy-things-... 5 Non-Touristy Things to do in NYC Fort Tryon Park is no ordinary spot in NYC. Since most people don't know about its cool history, it remains one of the top hidden gems in NYC. If you don't have ... › North America › USA NYC's Hidden Gems | The City's Must-See Secret Spots 2024",not_extracted
